functie,bouwjaar,beton,overige constructiematerialen,baksteen,staal,hout,isolatie,keramiek,glas
vrijstaand,<19445,975,250,200,25,100,10,10,0
vrijstaand,1945-1970,1025,250,200,10,50,10,10,0
vrijstaand,1970-2000,1025,1550,75,25,25,10,0,0
vrijstaand,>2000,1025,1550,75,25,25,10,0,0
serieel ,<1945,800,200,100,25,25,10,0,0
serieel ,1945-1970,850,200,100,25,25,10,0,0
serieel ,1970-2000,900,275,25,25,25,10,0,0
serieel ,>2000,900,275,25,25,25,10,0,0
appartement,<1945,1400,250,175,50,10,25,0,0
appartement,1945-1970,1450,250,175,50,10,25,0,0
appartement,1970-2000,1400,250,25,50,10,10,0,10
appartement,>2000,1400,250,25,50,10,10,0,10
winkel,<1945,1000,225,175,25,25,10,0,10
winkel,1945-1970,1050,225,175,25,25,10,0,10
winkel,1970-2000,1075,275,50,25,10,10,25,10
winkel,>2000,1075,275,50,25,10,10,25,10
kantoor,<1945,850,150,25,25,50,10,0,0
kantoor,1945-1970,900,150,25,25,25,10,0,0
kantoor,1970-2000,1200,225,25,50,0,10,0,0
kantoor,>2000,1200,225,25,50,0,10,0,0
bedrijfshal,<1945,790,25,25,50,75,10,0,0
bedrijfshal,1945-1970,790,25,25,50,25,10,0,0
bedrijfshal,1970-2000,790,50,0,50,0,25,0,0
bedrijfshal,>2000,790,50,0,50,0,25,0,0
zorg,<1945,1190,200,150,25,50,10,10,0
zorg,1945-1970,1225,200,150,25,25,10,10,0
zorg,1970-2000,1275,400,50,50,0,10,0,0
zorg,>2000,1275,400,50,50,0,10,0,0
onderwijs,<1945,1075,200,100,75,50,10,0,0
onderwijs,1945-1970,1100,200,100,75,25,10,0,0
onderwijs,1970-2000,1125,200,50,75,0,10,0,0
onderwijs,>2000,1125,200,50,75,0,10,0,0
